CODICE_STRUTTURA;INDIRIZZO_FORMATTATO;LAT;LON
44LHW15VY1G90U9H;Via Colugna, 48, 33100 Udine UD, Italy;46.079952;13.230775;
LRFP4ZX8TJEB2QCA;Via Pier Fortunato Calvi, 1, 32046 San Vito di Cadore BL, Italy;46.473804;12.203771;
X6JR7BWW6WHVL25Z;GEMONA ALTA piazza Giuseppe Garibaldi 9, 33013 Gemona UD, Italy;46.278343;13.139763;
95XH6ZNZYHQI6AJV;Località Puglie di Domio, 38, 34018 Domio TS, Italy;45.612648;13.826805;
31FF7IZ27LV85JC7;Via Francesco Tomadini, 33100 Udine UD, Italy;46.066265;13.242028;
8WMBF4YWMYK3BMDD;Via Sebastiano Ricci, 33033 Codroipo UD, Italy;45.96021;12.994184;
AAUN7SEZQE8JFQ8M;Via Costantino Dardi, 33052 Cervignano del Friuli UD, Italy;45.815685;13.3563595;
NHS5B0ISJLNEJTAD;Via Canal Ferro, 28, 33010 Stazione Carnia, Venzone UD, Italy;46.383705;13.137032;
DMZIHVYQL071AUZG;Via Roma, 89, 33090 Travesio PN, Italy;46.19373;12.869993;
ZFWWWYI8V7KXDZ8W;Viale Europa Unita, 10, 33074 Fontanafredda PN, Italy;45.976513;12.575302;
SZXOOWR6K4XG9H49;Trieste, UTI Giuliana, Italy;45.649525;13.776818;
HSD3OL1ZG72PQX3F;Via Tre Novembre 1918, 10, 33100 Udine UD, Italy;46.04427;13.22243;
1PHRB26PR8EZ82FN;Via Stati Uniti D'America, 4, 33029 Villa Santina UD, Italy;46.413666;12.928835;
51N2NN85UCFJ3FL3;Via Pasquale Besenghi, 25, 34144 Trieste TS, Italy;45.643208;13.77286;
75DE4QK302LC9UWE;Via Don Minzoni, 24, 33084 Cordenons PN, Italy;45.980465;12.691807;
K1CZE7YR8VI2NZZ2;Viale Rimembranze, 3, 33082 Azzano Decimo PN, Italy;45.88265;12.711458;
3DF1EJ2MVP1KO3U3;33080 San Quirino, Province of Pordenone, Italy;46.036736;12.680074;
3YX67VQXQRU4BG77;33057 Palmanova, Province of Udine, Italy;45.909424;13.305729;
ZRWTEF796N01TSJT;Via Marco Vietti, 10, 33080 Porcia PN, Italy;45.960415;12.609218;
GBHUB25N7J1CK2JD;34070 Fogliano Redipuglia, Province of Gorizia, Italy;45.86738;13.480491;
8MR2JXV0R3T16062;Via Montessori, 18, 33082 Azzano Decimo PN, Italy;45.881428;12.709751;
HUYSPQRT36UBUVV8;34016 Fernetti, UTI Giuliana, Italy;45.700756;13.825948;
GQQ9LW1UUYMAU3LN;33038 San Daniele del Friuli, Province of Udine, Italy;46.157856;13.010011;
UJJEL78D0KXBXQY8;Via del Collegio, 6, 34121 Trieste TS, Italy;45.648144;13.76934;
6UJH9TKOJ2KP034W;Via C. Cavour, 33030 Flaibano UD, Italy;46.059196;12.980901;
I9LE3CBCJQWAS6E4;Via Papa Luciani, 3, 33082 Azzano Decimo PN, Italy;45.87734;12.70552;
ICSFHK0FZJ33OPHZ;Piazza Vittorio Emanuele, 33080 Zoppola PN, Italy;45.966145;12.771233;
C6945LO58V93FV75;Via Giacomo Schiratti, 5, 33034 Fagagna UD, Italy;46.10734;13.086085;
IKYGZQVV1IT8PFG0;Via Poscolle, 43, 33100 Udine UD, Italy;46.061367;13.231033;
VNSGSXFINLTKVQ9U;Via Aquileia, 24, 33031 Villaorba UD, Italy;46.009605;13.0710745;
X0VY458MS6OG4Y3E;Via Redipuglia, 80, 34077 Ronchi dei Legionari GO, Italy;45.83207;13.499291;
IV628ZRWS3MCP8QS;Via Redipuglia, 80, 34077 Ronchi dei Legionari GO, Italy;45.83207;13.499291;
GT96U491J4V2PV72;Via Redipuglia, 34077 Ronchi dei Legionari GO, Italy;45.834553;13.4974165;
FW2WLK4XWXKM5Q0I;Via Betania, 33028 Tolmezzo UD, Italy;46.40155;13.029857;
H0XX796QEU36TC0O;Vicolo dei Pini, 2, 33033 Codroipo UD, Italy;45.969826;12.9744835;
NECXF1TB4FTDZ38W;Via Manzanesia, 33047 Cerneglons UD, Italy;46.053474;13.307146;
3C8HT8K1OA85MOCX;33047 Remanzacco, Province of Udine, Italy;46.085167;13.321005;
56VSWP7O61ULSS5Y;Via Primo Calcherutti, 4, 33084 Cordenons PN, Italy;45.99093;12.692896;
36D2H0G9GSTAK20W;Via S. Giovanni, 35, 33084 Cordenons PN, Italy;45.99564;12.707666;
YQWB0W33QCFAHJL3;Via Orsaria, 33100 Udine UD, Italy;46.047718;13.260002;
98NYL1AD9O8C3UVS;Viale Rotto, 1, 33170 Pordenone PN, Italy;45.97227;12.65139;
ZOKPST103Q6QBG1V;UTI Giuliana, Italy;45.689484;13.783307;
CHEOY57IWSRF83FC;Piazzale Unicef, 3, 34079 Staranzano GO, Italy;45.80409;13.504239;
J3EFQX609W4JJPOY;Riva Tommaso Gulli, 1, 34123 Trieste TS, Italy;45.64716;13.761188;
O4DHCCGKW35S30Q4;Via della Chiesa, 52, 33043 Cividale del Friuli UD, Italy;46.071114;13.437013;
8B1EYQFV83A830VL;34073 Grado, Province of Gorizia, Italy;45.681774;13.386399;
ZG5D6KRKLXP8IK2W;Via Sant'Antonio, 19, 33080 Porcia PN, Italy;45.968742;12.611013;
8307627ZOJEGRKLJ;Piazza del Tiglio, 7, 33010 Mels UD, Italy;46.1773;13.107843;
